# Title: February 2022 - January 2023 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
WA-019,Ferry County,Washington,42.4,0.3,70,42.1
WA-021,Franklin County,Washington,51.7,0.9,90,50.8
WA-023,Garfield County,Washington,48.4,1.3,100,47.1
WA-025,Grant County,Washington,50,0.5,73,49.6
WA-027,Grays Harbor County,Washington,50.6,1.4,113,49.2
WA-029,Island County,Washington,51,1.1,105,49.9
WA-031,Jefferson County,Washington,46.3,1.4,111,44.9
WA-033,King County,Washington,48.4,1.5,113,46.9
WA-035,Kitsap County,Washington,52,1.5,110,50.6
WA-037,Kittitas County,Washington,45.6,1.4,102,44.3
WA-039,Klickitat County,Washington,48.9,1.5,107,47.4
WA-041,Lewis County,Washington,48.6,1.8,122,46.8
WA-043,Lincoln County,Washington,46.4,0.1,62,46.3
WA-045,Mason County,Washington,49.6,1.3,111,48.3
WA-047,Okanogan County,Washington,42.7,0.9,90,41.8
WA-049,Pacific County,Washington,51.1,1.6,115,49.5
WA-051,Pend Oreille County,Washington,42.5,1,95,41.4
WA-053,Pierce County,Washington,47.7,1.5,113,46.2
WA-055,San Juan County,Washington,50.5,0.8,100,49.7
WA-057,Skagit County,Washington,46.3,1.2,106,45.1
WA-059,Skamania County,Washington,46.4,1.8,118,44.5
WA-061,Snohomish County,Washington,47,1.3,113,45.7
WA-063,Spokane County,Washington,47.3,1.4,108,45.9
WA-065,Stevens County,Washington,44.5,0.4,71,44.1
WA-067,Thurston County,Washington,51.3,0.9,109,50.3
WA-069,Wahkiakum County,Washington,50.9,1.7,113,49.2
WA-071,Walla Walla County,Washington,52.1,0.7,84,51.4
WA-073,Whatcom County,Washington,44.7,1.2,105,43.5
WA-075,Whitman County,Washington,49.3,1.4,104,48
WA-077,Yakima County,Washington,46.9,1.4,105,45.5
WV-001,Barbour County,West Virginia,53,2.3,118,50.7
WV-003,Berkeley County,West Virginia,54.5,2.4,120,52.1
WV-005,Boone County,West Virginia,55.5,1.5,106,54.1
WV-007,Braxton County,West Virginia,54.8,1.7,112,53.1
WV-009,Brooke County,West Virginia,52.4,1.7,111,50.7
WV-011,Cabell County,West Virginia,56.5,1.9,117,54.5
WV-013,Calhoun County,West Virginia,54.8,1.9,115,52.9
WV-015,Clay County,West Virginia,55.2,1.7,112,53.5
WV-017,Doddridge County,West Virginia,54.1,2,113,52.1
WV-019,Fayette County,West Virginia,53.4,1.6,112,51.8
WV-021,Gilmer County,West Virginia,54.9,2.1,115,52.8
WV-023,Grant County,West Virginia,51.6,1.6,113,49.9
WV-025,Greenbrier County,West Virginia,51.3,1.8,114,49.5
WV-027,Hampshire County,West Virginia,53.4,1.8,116,51.6
WV-029,Hancock County,West Virginia,51.6,1.2,102,50.4
WV-031,Hardy County,West Virginia,52.6,1.7,115,50.9
WV-033,Harrison County,West Virginia,53.9,2.1,114,51.9
WV-035,Jackson County,West Virginia,55.1,1.5,105,53.5
WV-037,Jefferson County,West Virginia,55,2.4,120,52.6
WV-039,Kanawha County,West Virginia,55.8,1.5,105,54.3
WV-041,Lewis County,West Virginia,54.5,2.2,117,52.3
WV-043,Lincoln County,West Virginia,56.7,1.8,113,54.9
WV-045,Logan County,West Virginia,56.1,1.4,108,54.7
WV-047,McDowell County,West Virginia,54.5,1.4,101,53.1
WV-049,Marion County,West Virginia,53.1,1.6,109,51.5
WV-051,Marshall County,West Virginia,52.4,1.3,103,51
WV-053,Mason County,West Virginia,54.7,0.9,91,53.9
WV-055,Mercer County,West Virginia,52.6,1.2,100,51.4
WV-057,Mineral County,West Virginia,53.4,1.5,111,51.8
WV-059,Mingo County,West Virginia,56.7,1.5,112,55.2
WV-061,Monongalia County,West Virginia,52.7,1.7,113,51.1
WV-063,Monroe County,West Virginia,53.4,1.8,117,51.6
WV-065,Morgan County,West Virginia,53.8,2.1,116,51.7
WV-067,Nicholas County,West Virginia,52.7,1.7,112,51
WV-069,Ohio County,West Virginia,52.5,1.8,114,50.7
WV-071,Pendleton County,West Virginia,50.9,1.8,114,49.1
WV-073,Pleasants County,West Virginia,54.1,2,113,52.2
WV-075,Pocahontas County,West Virginia,48.3,1.5,111,46.8
WV-077,Preston County,West Virginia,50.9,2,118,48.8
WV-079,Putnam County,West Virginia,56,1.7,109,54.3
WV-081,Raleigh County,West Virginia,52.9,1.5,106,51.4
WV-083,Randolph County,West Virginia,49.4,2.2,118,47.1
WV-085,Ritchie County,West Virginia,54.4,2.1,116,52.3
WV-087,Roane County,West Virginia,55,1.6,112,53.3
WV-089,Summers County,West Virginia,53.8,1.6,113,52.2
WV-091,Taylor County,West Virginia,53.3,1.7,111,51.5
WV-093,Tucker County,West Virginia,49.1,2.1,115,47
WV-095,Tyler County,West Virginia,53.7,1.7,108,52
WV-097,Upshur County,West Virginia,53,2.3,118,50.8
WV-099,Wayne County,West Virginia,56.8,2,120,54.8
WV-101,Webster County,West Virginia,51,1.3,107,49.6
WV-103,Wetzel County,West Virginia,52.8,1.3,105,51.4
WV-105,Wirt County,West Virginia,54.8,2,117,52.8
WV-107,Wood County,West Virginia,55.1,2.2,119,52.9
WV-109,Wyoming County,West Virginia,54.3,1.4,104,52.9
WI-001,Adams County,Wisconsin,45.4,1.9,107,43.5
WI-003,Ashland County,Wisconsin,40.1,1,88,39.1
WI-005,Barron County,Wisconsin,42.1,1,90,41.1
WI-007,Bayfield County,Wisconsin,40.4,1.3,97,39.1
WI-009,Brown County,Wisconsin,46,3,116,42.9
WI-011,Buffalo County,Wisconsin,45.1,1.1,88,44
WI-013,Burnett County,Wisconsin,41.9,1.3,93,40.7
WI-015,Calumet County,Wisconsin,46.2,2.7,114,43.5
WI-017,Chippewa County,Wisconsin,43.1,1.2,93,41.9
WI-019,Clark County,Wisconsin,43.5,1.9,110,41.5
WI-021,Columbia County,Wisconsin,47.1,2.3,113,44.8
WI-023,Crawford County,Wisconsin,46.5,0.8,89,45.7
WI-025,Dane County,Wisconsin,47.7,2.2,111,45.5
WI-027,Dodge County,Wisconsin,46.7,1.7,108,44.9
WI-029,Door County,Wisconsin,44.3,1.7,104,42.6
WI-031,Douglas County,Wisconsin,40.4,1.3,94,39.1
WI-033,Dunn County,Wisconsin,43.9,1.1,92,42.8
WI-035,Eau Claire County,Wisconsin,44.2,1.6,103,42.5
WI-037,Florence County,Wisconsin,41.2,2.3,111,38.9
WI-039,Fond du Lac County,Wisconsin,46.5,2.3,114,44.2
WI-041,Forest County,Wisconsin,40.4,1.8,105,38.7
WI-043,Grant County,Wisconsin,47,0.8,89,46.3
WI-045,Green County,Wisconsin,47.9,1.7,106,46.2
WI-047,Green Lake County,Wisconsin,46.7,2.3,116,44.4
WI-049,Iowa County,Wisconsin,47,1.6,105,45.3
WI-051,Iron County,Wisconsin,39.2,0.8,87,38.5
WI-053,Jackson County,Wisconsin,44.9,2.1,109,42.7
WI-055,Jefferson County,Wisconsin,47.7,1.6,105,46.1
WI-057,Juneau County,Wisconsin,45.3,1.7,104,43.5
WI-059,Kenosha County,Wisconsin,49.3,2.2,116,47.1
WI-061,Kewaunee County,Wisconsin,45.2,2.4,114,42.8
WI-063,La Crosse County,Wisconsin,45.6,1,93,44.6
WI-065,Lafayette County,Wisconsin,47.4,1.5,104,45.9
WI-067,Langlade County,Wisconsin,41.4,2,106,39.4
WI-069,Lincoln County,Wisconsin,41.6,1.6,104,39.9
WI-071,Manitowoc County,Wisconsin,45.9,2.5,115,43.4
WI-073,Marathon County,Wisconsin,43.4,2.3,113,41.1
WI-075,Marinette County,Wisconsin,43.5,2.2,110,41.3
WI-077,Marquette County,Wisconsin,46.5,2.2,111,44.3
WI-078,Menominee County,Wisconsin,43.5,2.4,111,41.1
WI-079,Milwaukee County,Wisconsin,49,2.7,118,46.3
WI-081,Monroe County,Wisconsin,44.5,1.1,97,43.4
WI-083,Oconto County,Wisconsin,44.1,2.3,112,41.8
WI-085,Oneida County,Wisconsin,40.1,1,88,39.1
WI-087,Outagamie County,Wisconsin,46.1,2.8,115,43.3
WI-089,Ozaukee County,Wisconsin,47.3,2.2,114,45.1
WI-091,Pepin County,Wisconsin,44.8,0.9,85,43.9
WI-093,Pierce County,Wisconsin,44,0.7,80,43.3
WI-095,Polk County,Wisconsin,42.6,1.1,89,41.6
WI-097,Portage County,Wisconsin,44.7,2.2,111,42.5
WI-099,Price County,Wisconsin,40.4,1.2,98,39.1
WI-101,Racine County,Wisconsin,48.9,2.2,114,46.7
WI-103,Richland County,Wisconsin,46.4,1.3,102,45.1
WI-105,Rock County,Wisconsin,48.3,1.6,105,46.7
WI-107,Rusk County,Wisconsin,41.7,1,88,40.8
WI-109,St. Croix County,Wisconsin,43.7,1,90,42.6
WI-111,Sauk County,Wisconsin,46.3,1.7,100,44.7
WI-113,Sawyer County,Wisconsin,40.6,1.4,99,39.2
WI-115,Shawano County,Wisconsin,44.5,2.6,114,41.9
WI-117,Sheboygan County,Wisconsin,46.6,2.5,115,44.1
WI-119,Taylor County,Wisconsin,41.8,1.4,102,40.3
WI-121,Trempealeau County,Wisconsin,45,1.4,96,43.6
WI-123,Vernon County,Wisconsin,45.1,0.7,87,44.4
WI-125,Vilas County,Wisconsin,39.2,0.9,87,38.3
WI-127,Walworth County,Wisconsin,48,1.6,105,46.4
WI-129,Washburn County,Wisconsin,41.1,1.1,90,40
WI-131,Washington County,Wisconsin,46.3,1.8,106,44.5
WI-133,Waukesha County,Wisconsin,47.7,2.1,112,45.6
WI-135,Waupaca County,Wisconsin,45.8,2.7,114,43.1
WI-137,Waushara County,Wisconsin,45.9,2.4,114,43.5
WI-139,Winnebago County,Wisconsin,46.6,2.5,114,44.1
WI-141,Wood County,Wisconsin,44.4,1.9,107,42.5
WY-001,Albany County,Wyoming,40.8,1.4,100,39.4
WY-003,Big Horn County,Wyoming,42.6,1.2,87,41.5
WY-005,Campbell County,Wyoming,44.6,1,87,43.6
WY-007,Carbon County,Wyoming,41.4,1.2,97,40.2
WY-009,Converse County,Wyoming,44.2,0.6,77,43.6
WY-011,Crook County,Wyoming,44,0.9,87,43.1
WY-013,Fremont County,Wyoming,40.4,0.6,75,39.8
WY-015,Goshen County,Wyoming,47.5,1.6,100,45.9
WY-017,Hot Springs County,Wyoming,42.6,0.3,68,42.3
WY-019,Johnson County,Wyoming,43,0.5,73,42.6
WY-021,Laramie County,Wyoming,45.9,1.7,100,44.2
WY-023,Lincoln County,Wyoming,38.3,1.1,93,37.2
WY-025,Natrona County,Wyoming,42.9,0.2,64,42.7
WY-027,Niobrara County,Wyoming,46.6,1.8,106,44.8
WY-029,Park County,Wyoming,38.5,0.9,87,37.5
WY-031,Platte County,Wyoming,46.6,1.2,94,45.3
WY-033,Sheridan County,Wyoming,42.6,0.9,82,41.7
WY-035,Sublette County,Wyoming,35.6,0.9,90,34.7
WY-037,Sweetwater County,Wyoming,41.6,0.8,84,40.8
WY-039,Teton County,Wyoming,34.8,0.4,76,34.4
WY-041,Uinta County,Wyoming,39.7,0.6,75,39.2
WY-043,Washakie County,Wyoming,43.9,0.4,67,43.4
WY-045,Weston County,Wyoming,44.9,1.2,94,43.7
